,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,oxford covid vaccine produces strong immune response after booster shot study rappler coronavirus covid19,0.4333333333333333,0.7333333333333333,neutral,0.0,1.0,0.0,0.0
1,astrazeneca pfizer vaccines effective against delta covid variants study reuters coronavirus covid19,0.6,0.8,neutral,0.0,1.0,0.0,0.0
2,reposting this because everybody wants have repeat swab after recovery long asymptomatic,0.07500000000000001,0.25,negative,0.0,1.0,0.0,0.0
3,tingnan dumating pilipinas eroplanong lulan karagdagang doses bakuna kontra covid19,0.0,0.0,neutral,0.0,1.0,0.0,0.0
4,look pasig city vaccine report pasig mayor vico sotto says most senior citizens city have been fully vaccinate,0.5,0.5,neutral,0.0,1.0,0.0,0.0
5,nabakunahan laban covid19 maraming restaurant aalok diskwento naturukan corona,0.0,0.0,neutral,0.0,1.0,0.0,0.0
6,nabakunahan laban covid19 maraming restaurant aalok diskwento naturukan,0.0,0.0,neutral,0.0,1.0,0.0,0.0
7,publichealth covid19vaccines covid19vaccinereport covid19vaccineph where,0.0,0.0,negative,0.0,1.0,0.0,0.0
8,have gotten your covid vaccine already many restaurants offering discounts treats those already,0.5,0.5,neutral,0.0,1.0,0.0,0.0
10,have gotten your covid vaccine already many restaurants offering discounts treats those,0.5,0.5,neutral,0.0,1.0,0.0,0.0
13,duterte implore filipinos list sectors inoculated vaccinated those,0.0,0.0,negative,0.0,1.0,0.0,0.0
15,pinuri pang duterte lokal pamahalaan juan dahil bakunado porsiyento populasyon,0.0,0.0,neutral,0.0,1.0,0.0,0.0
26,july umabot doses covid19vaccineph naiturok pilipinas umakyat,0.0,0.0,neutral,0.0,1.0,0.0,0.0
27,look manila city opens vaccination site katrinadomingo covid19vaccineph manila,0.0,0.0,neutral,0.0,1.0,0.0,0.0
29,july philippines administered doses covid19 vaccines filipinos fully,0.0,0.0,neutral,0.0,1.0,0.0,0.0
35,look manila city opens vaccination site katrinadomingo covid19vaccineph,0.0,0.0,neutral,0.0,1.0,0.0,0.0
38,watch kathryn daniel their doses covid19 vaccine covid19vaccineph,0.0,0.0,neutral,0.0,1.0,0.0,0.0
51,july philippines administered doses covid19 vaccines filipinos,0.0,0.0,neutral,0.0,1.0,0.0,0.0
62,look pasig city vaccine report pasig mayor vico sotto says most senior citizens city have been fully,0.5,0.5,positive,0.0,1.0,0.0,0.0
73,just another batch government procured sinovac vaccines containing million doses arrive naia terminal this,0.0,0.0,neutral,0.171,0.658,0.171,0.0
75,duterte denies covid vaccine shortage shuns walk covid19vaccineph,0.0,0.0,negative,,,,
86,national task force against covid reported that number fully vaccinated individuals philippines increased,0.0,0.0,neutral,0.0,1.0,0.0,0.0
87,national task force against covid reported that number fully vaccinated individuals philippine,0.0,0.0,positive,,,,
96,covid19vaccineph,0.0,0.0,neutral,0.0,1.0,0.0,0.0
105,higit milyong pilipino nakatanggap dalawang dose covid19vaccineph sabi national task force against,0.0,0.0,neutral,0.0,1.0,0.0,0.0
179,weather forces suspension covid19 vaccine drive some parts covid19vaccineph floodpatrol,0.0,0.0,neutral,0.0,1.0,0.0,0.0
180,over million filipinos fully immunized covid19 task force covid19vaccineph,0.0,0.0,neutral,0.0,1.0,0.0,0.0
183,people brave flood they queue their covid19vaccineph shot outside andres sports complex vaccination,0.16666666666666666,0.4833333333333334,positive,,,,
186,weather forces suspension covid19 vaccine drive some parts covid19vaccineph,0.0,0.0,neutral,0.0,1.0,0.0,0.0
190,pagbabakuna ilang vaccine sites sinuspinde dahil masamang panahon covid19vaccineph,0.0,0.0,neutral,0.0,1.0,0.0,0.0
194,doses pfizer astrazeneca shots effective against delta variant study finds covid19 covid19vaccineph,0.6,0.8,positive,,,,
196,hesitate vaccinated proud fully vaccinated jabwelldone goodjab ingatangatbakunalahat,0.8,1.0,positive,,,,
200,over million filipinos fully immunized covid task force covid19vaccineph,0.0,0.0,neutral,0.0,1.0,0.0,0.0
206,higit milyong pilipino nakatanggap dalawang dose covid19vaccineph sabi national task force,0.0,0.0,neutral,0.0,1.0,0.0,0.0
211,whoah already fully vaxed ahead others thought philippines slow,-0.30000000000000004,0.39999999999999997,neutral,0.0,1.0,0.0,0.0
212,dumami nagpapabakuna ilang bayan leyte matapos dumating doon single dose janssen vaccine,-0.07142857142857142,0.21428571428571427,neutral,0.0,1.0,0.0,0.0
213,leni plans expanding vaccine express with other lgus kasi yung problema amin think,-0.125,0.375,neutral,0.0,1.0,0.0,0.0
214,leni robredo visits vaccine express thanks volunteers private partners,0.1,0.2875,positive,,,,
216,abscbnnews open giving covid vaccine booster shots immunocompromised covid19vaccineph,0.0,0.5,positive,,,,
217,dumami nagpapabakuna ilang bayan leyte matapos dumating doon single dose janssen,-0.07142857142857142,0.21428571428571427,neutral,0.0,1.0,0.0,0.0
219,open giving covid vaccine booster shots immunocompromised covid19vaccineph,0.0,0.5,positive,,,,
220,july 2021 dream zone vaccination provincial capitol compound batangas city batangasmagiting,0.0,0.0,positive,,,,
221,robredo opens vaccine express hometown naga city covid19vaccineph,0.0,0.0,neutral,0.0,1.0,0.0,0.0
233,adds more sinovac doses vaccine stock covid19vaccineph,0.5,0.5,neutral,0.0,1.0,0.0,0.0
234,look people waiting their first vaccine dose line under rain outside ospital sampaloc hospi,0.125,0.19166666666666665,neutral,0.0,1.0,0.0,0.0
241,just another batch government procured sinovac vaccines containing million doses arrive naia terminal,0.0,0.0,neutral,0.0,1.0,0.0,0.0
251,look pasig city starts inoculation residents using single dose johnson johnson covid19 vaccine,-0.07142857142857142,0.21428571428571427,neutral,0.0,1.0,0.0,0.0
259,nearly covid vaccine doses administered people fully vaccinated palace covid19vaccineph,0.1,0.4,neutral,0.0,1.0,0.0,0.0
260,more than million covid19vaccineph doses have already been administered philippines according malacanang,0.5,0.5,neutral,0.0,1.0,0.0,0.0
267,dose pfizer astrazeneca vaccine mabisang proteksiyon laban delta variant covid19 covid19vaccineph,0.0,0.0,neutral,0.0,1.0,0.0,0.0
275,bakunahan covid19 lgus tuloy gitna masamang panahon covid19vaccineph,0.0,0.0,neutral,0.0,1.0,0.0,0.0
276,about pfizer vaccine afraid lowla fever chills pains head foot,-0.6,0.9,negative,,,,
277,ayon national task force against covid umabot milyong doses bakuna kontra covid19 naiturok buon,0.0,0.0,neutral,0.0,1.0,0.0,0.0
280,just first dose covid vaccine hoping best bounce back stronger covid19vaccineph astrazeneca,0.4166666666666667,0.2111111111111111,positive,,,,
282,ayon national task force against covid umabot milyong doses bakuna kontra covid19 naiturok,0.0,0.0,neutral,0.0,1.0,0.0,0.0
287,more than million covid19vaccineph doses have already been administered philippines according,0.5,0.5,neutral,0.0,1.0,0.0,0.0
295,deputy chief implementer vince dizon announces that july philippines already administered,0.0,0.0,neutral,0.0,1.0,0.0,0.0
307,look plane carrying government bought doses pfizer vaccines arrives philippines wednesday evening,0.0,0.0,neutral,0.0,1.0,0.0,0.0
308,nagpapabakuna covid19 maynila dagsa kabila masamang panahon covid19vaccineph,0.0,0.0,neutral,0.0,1.0,0.0,0.0
314,single dose vaccines will used inoculate those belong priority groups senior,-0.07142857142857142,0.21428571428571427,neutral,0.0,1.0,0.0,0.0
317,look manila tricycle pedicab drivers delivery riders their dose covid19vaccineph vaccine express,0.0,0.0,neutral,0.0,1.0,0.0,0.0
