,Unnamed: 0,0
0,0,"Oxford COVID vaccine produces strong immune response after 3rd booster shot – study| Rappler

#coronavirus #COVID19… https://t.co/1htJnk3IBi"
1,1,"AstraZeneca, Pfizer vaccines effective against Delta COVID-19 variants-study | Reuters

#coronavirus #COVID19… https://t.co/eud2g1kxFs"
2,2,"RT @pinoygastro: ‼️REPOSTING THIS BECAUSE EVERYBODY WANTS TO HAVE A REPEAT RT-PCR SWAB AFTER RECOVERY‼️

☑️As long as you are ASYMPTOMATIC…"
3,3,"TINGNAN: Dumating na sa Pilipinas ang eroplanong lulan ang karagdagang 300,000 doses ng bakuna kontra #COVID19 ng P… https://t.co/r5adugXleo"
4,4,"RT @ABSCBNNews: LOOK: Pasig City's vaccine report. 

Pasig Mayor Vico Sotto says most senior citizens in the city have been fully vaccinate…"
5,5,RT @DZMMTeleRadyo: Nabakunahan ka na ba laban sa #COVID19? Maraming restaurant ang nag-aalok ng mga diskwento sa mga naturukan na vs corona…
6,6,Nabakunahan ka na ba laban sa #COVID19? Maraming restaurant ang nag-aalok ng mga diskwento sa mga naturukan na vs c… https://t.co/NR9N6mrK5y
7,7,#PublicHealth #COVID19Vaccines #Covid19VaccineReport #Covid19VaccinePH Where are we now ? https://t.co/CsQlrgN83X
8,8,RT @ABSCBNNews: Have you gotten your COVID-19 vaccine already? Many restaurants are offering discounts and treats to those who are already…
9,9,RT @ABSCBNNews: Have you gotten your COVID-19 vaccine already? Many restaurants are offering discounts and treats to those who are already…
10,10,Have you gotten your COVID-19 vaccine already? Many restaurants are offering discounts and treats to those who are… https://t.co/JuEC7pEnmc
11,11,"RT @ABSCBNNews: LOOK: Pasig City's vaccine report. 

Pasig Mayor Vico Sotto says most senior citizens in the city have been fully vaccinate…"
12,12,"RT @ABSCBNNews: LOOK: Pasig City's vaccine report. 

Pasig Mayor Vico Sotto says most senior citizens in the city have been fully vaccinate…"
13,13,"RT @DZMMTeleRadyo: Duterte: I implore Filipinos who are now in list of sectors to be inoculated to get vaccinated now, And for those who re…"
14,14,"Duterte: I implore Filipinos who are now in list of sectors to be inoculated to get vaccinated now, And for those w… https://t.co/aDwyy3r4w4"
15,15,Pinuri ni Pang. Duterte ang lokal na pamahalaan ng San Juan dahil bakunado na ang 70 porsiyento ng populasyon ng lu… https://t.co/4SWHA9ioev
16,16,"RT @ABSCBNNews: LOOK: Pasig City's vaccine report. 

Pasig Mayor Vico Sotto says most senior citizens in the city have been fully vaccinate…"
17,17,"RT @ABSCBNNews: LOOK: Pasig City's vaccine report. 

Pasig Mayor Vico Sotto says most senior citizens in the city have been fully vaccinate…"
18,18,"RT @ABSCBNNews: LOOK: Pasig City's vaccine report. 

Pasig Mayor Vico Sotto says most senior citizens in the city have been fully vaccinate…"
19,19,"RT @ABSCBNNews: LOOK: Pasig City's vaccine report. 

Pasig Mayor Vico Sotto says most senior citizens in the city have been fully vaccinate…"
20,20,"RT @ABSCBNNews: LOOK: Pasig City's vaccine report. 

Pasig Mayor Vico Sotto says most senior citizens in the city have been fully vaccinate…"
21,21,"RT @ABSCBNNews: LOOK: Pasig City's vaccine report. 

Pasig Mayor Vico Sotto says most senior citizens in the city have been fully vaccinate…"
22,22,"RT @ABSCBNNews: LOOK: Pasig City's vaccine report. 

Pasig Mayor Vico Sotto says most senior citizens in the city have been fully vaccinate…"
23,23,"RT @ABSCBNNews: LOOK: Pasig City's vaccine report. 

Pasig Mayor Vico Sotto says most senior citizens in the city have been fully vaccinate…"
